metal_level,company,plan_number,plan_name,plan_type,sob_url,plan_id
Gold,PacificSource Health Plans,23603MT0290003,Navigator Gold 1500,PPO,https://pacificsource.widen.net/content/v9obljuaxw/pdf/Navigator-Gold-1500_23603MT0290003-01-SBC_2025.pdf,002df495-68a8-4aa1-b110-e4e5682fea38
Gold,Ambetter from Magnolia Health,90714MS0010065,Standard Gold,HMO,https://api.centene.com/SBC/2025/90714MS0010065-01.pdf,002e17df-e8f2-4f87-96c1-2f8f97090a5d
Gold,Ambetter from Buckeye Health Plan,41047OH0030071,Clear Gold + Vision + Adult Dental,HMO,https://api.centene.com/SBC/2025/41047OH0030071-01.pdf,003091a3-3546-4b56-9107-d77bba1cfc72
Expanded Bronze,MedMutual,99969OH0080498,"Bronze HSA $7,300 ON-EX",HMO,https://www.medmutual.com/-/media/CA6A24BA931F444EA85186A62EAE71ED.pdf,0030e2ab-3441-47af-936f-fe7d174e4eef
Gold,Blue Cross and Blue Shield of Illinois,36096IL0810094,Blue Precision Gold HMO? 207,HMO,https://www.bcbsil.com/sbc/ind/sbc-ghsh30baviilp-il-2025.pdf,00310d2b-05ae-41fd-a0cd-aec0f8eed982
Expanded Bronze,Blue Cross and Blue Shield of Illinois,36096IL0810212,BlueCare Direct Bronze? Standard - Select Rx Copays with Advocate,HMO,https://www.bcbsil.com/sbc/ind/sbc-bhsb81bhdiilp-il-2025.pdf,0031829c-0246-4691-b721-7626af1c57d6
Expanded Bronze,"Wellmark Health Plan of Iowa, Inc.",25896IA0370002,Wellmark Bronze HDHP HMO HSA Qualified,HMO,https://www.wellmark.com/-/media/sites/public/files/sbc/2025/IA/HX000103-RX000171.pdf,00319011-ceca-4a03-ae85-13d08ad977ed
Expanded Bronze,"Imperial Insurance Companies, Inc.",34826TX0020001,Imperial Standard Bronze,HMO,https://documents.imperialhealthplan.com/2025/Marketplace/Plans/Texas/Imperial%20Standard%20Bronze_34826TX0020001-01_CY2025.pdf,0031c424-2de7-4a08-bfcc-935ac0776c9f
Expanded Bronze,UnitedHealthcare,69461AL0110007,"UHC Bronze Value ($0 Virtual Urgent Care, $5 Tier 2 Rx, No Referrals)",EPO,https://www.uhc.com/ifp/sbc.69461AL0110007-01.en.2025.pdf,00321699-4139-4cf0-b34f-9bf182441349
Gold,Blue Cross and Blue Shield of Nebraska,29678NE1480013,HeartlandBlue Gold Standard 1500 Blueprint Health,EPO,https://sbc.nebraskablue.com/home/retrievesbc/M23231003_2025.pdf,0032b63f-5a79-4b71-bf85-2f1c217d3740
Silver,Cigna Healthcare,73943NC0070049,Connect Silver CMS Standard,HMO,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-25-sbc-nc-970985-s-connectcms.pdf,0032c2a9-7d74-4de7-a1fa-327d56563848
Gold,Oscar Insurance Company,45819IA0010036,Gold Elite | MercyOne,EPO,https://d3ul0st9g52g6o.cloudfront.net/2025/IA/sbc/2025_45819IA001003601.pdf,00335462-800a-41ba-9eaf-0ee5a51a1902
Silver,Mountain Health CO-OP,38576WY0020002,High Plains Silver,PPO,https://mountainhealth.coop/wp-content/uploads/plans/2025/2025_WY_IND_HIGH_PLAINS_SILVER_SBC.pdf,003368c5-5c26-4078-94f5-ca53e31fcf9a
Expanded Bronze,Blue Care Network of Michigan,98185MI0180028,Blue Cross� Preferred HMO Bronze Saver HSA,HMO,https://www.bcbsm.com/amslibs/content/dam/public/marketplace/2025-individual/sbc/preferred-bronze-saver-sbc.pdf,0033db05-dd36-4479-8071-b413dbbc167d
Silver,Common Ground Healthcare Cooperative,87416WI0060012,CGHC Silver $4200 Ded / $5000 Rx Ded - Envision Network (Vision Exam),EPO,https://www.commongroundhealthcare.org/assets/pdf/Plans-and-Benefits/2025/SBC/2025_Silver_4200Ded-Envision_VisExam_SBC.pdf,003561f7-b9c7-4953-b66c-8eab5f8132d1
Silver,Ambetter Health,49004FL0020006,Focused Silver + Vision + Adult Dental,HMO,https://api.centene.com/SBC/2025/49004FL0020006-01.pdf,00366fec-cc5a-4eeb-9b52-11a8aadc8f6f
Bronze,Anthem Blue Cross and Blue Shield,32753MO0950051,Anthem Bronze Pathway 9200 (+ Incentives),EPO,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemBronzePathwayX9200Incentives/82WG/English/DG166705366814.pdf,0037e6d3-5c9a-4f11-b8dd-3252d2e7e3a3
Silver,Molina Healthcare,64353OH0010009,Silver 8,HMO,https://www.molinamarketplace.com/members/oh/en-US/PDF/Marketplace/2025/OH25SBCE_S8_1.pdf,003a2342-4fe4-41e9-8ec8-5d18dad526b2
Catastrophic,Sanford Health Plan,89364ND0120009,"Sanford Individual Simplicity $9,200",PPO,https://www.sanfordhealthplan.org/-/media/plan-documents/2025/PY25INDSimp_9200_ND_HP2827.pdf,003a6e93-b5a8-4556-beec-e62e6c6d6ab9
Silver,Blue Cross and Blue Shield of Texas,33602TX0870009,Blue Advantage Plus Silver? 605,POS,https://www.bcbstx.com/sbc/ind/sbc-sosa20bavitxp-tx-2025.pdf,003bc518-3b1b-4154-a9bc-300325a98d02
Silver,Ambetter from Nebraska Total Care,26289NE0030008,Complete Silver + Vision + Adult Dental,HMO,https://api.centene.com/SBC/2025/26289NE0030008-01.pdf,003c1b6a-784e-451f-89af-f673c151b7f3
Gold,Aetna CVS Health,61671NC0100024,Gold 10 Advanced: $0 PCP + Aetna network + $0 MinuteClinic + Adult Dental + Vision,HMO,https://www.aetnacvshealth.com/documents/2025-IFP-778055_61671NC0100024-01_SBC.pdf,003d0a3f-6ab3-422b-b725-6330208e99cc
Gold,UnitedHealthcare,95426MO0420001,"UHC Gold Advantage+ ($0 Virtual Urgent Care, $3 Tier 2 Rx, Dental + Vision, No Referrals)",EPO,https://www.uhc.com/ifp/sbc.95426MO0420001-01.en.2025.pdf,003d73cd-7f1f-4210-97b6-bdf3a0f0f3cb
Expanded Bronze,Ambetter from Magnolia Health,90714MS0030064,Standard Expanded Bronze + Vision + Adult Dental,HMO,https://api.centene.com/SBC/2025/90714MS0030064-01.pdf,003dd8c6-1936-4226-a8cf-a7d979390fe7
Expanded Bronze,Health Advantage,13262AR0230006,HA Bronze Suitcase,POS,https://healthadvantage-hmo.com/docs/librariesprovider6/members/sbcpdffiles/2025/60027.pdf,003e565a-5ee9-4a26-8171-19c249268e53
Expanded Bronze,Ambetter from Home State Health,99723MO0090018,Everyday Bronze,EPO,https://api.centene.com/SBC/2025/99723MO0090018-01.pdf,003ebb34-486b-451b-8cd7-75ba5c4c4472
Gold,BlueCross BlueShield of Tennessee,14002TN0400357,BlueCross G08E $30 PCP Copay + $0 virtual care from Teladoc Health �,EPO,https://www.bcbst.com/sbc/2025/127600/G08E_SBC.pdf,0040011a-bffb-46a1-afe8-ae33c90989fa
Gold,Ambetter from Superior HealthPlan,29418TX0140064,Complete Gold,EPO,https://api.centene.com/SBC/2025/29418TX0140064-01.pdf,00409cb9-aff1-42c9-bfce-513bef04f5ea
Expanded Bronze,Medica,20305NE0040073,Medica Insure Expanded Bronze Standard,EPO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBIBESTNE&uid=FFM.pdf,0040e44c-e555-4e0a-b8c6-040c819760c2
Silver,UnitedHealthcare,95426MO0420002,"UHC Silver Advantage+ ($0 Virtual Urgent Care, $3 Tier 2 Rx, Dental + Vision, No Referrals)",EPO,https://www.uhc.com/ifp/sbc.95426MO0420002-01.en.2025.pdf,00413fa6-9453-456c-8400-4dcbee276a3c
Gold,Health Advantage,13262AR0230004,HA Gold Standardized,POS,https://healthadvantage-hmo.com/docs/librariesprovider6/members/sbcpdffiles/2025/60018.pdf,0043009d-1b3b-497a-919f-64b256e1e89a
Silver,Baylor Scott and White Health Plan,40788TX0460008,"BSW Prime Silver HMO 008 (Two free PCP visits, $0 Pediatric PCP visit)",HMO,https://www.bswhealthplan.com/SiteCollectionDocuments/PlanDocs/2025/SBC/01_SWHP_2025_SHIW5M23_X_SBC.pdf,0043306f-4c84-4aa0-9dcb-dfabdca9f770
Gold,Ambetter from Arkansas Health & Wellness,62141AR0100030,Everyday Gold + Vision + Adult Dental,PPO,https://api.centene.com/SBC/2025/62141AR0100030-01.pdf,0043e469-6b1c-44c1-90ea-0c9e3dcd32ba
Expanded Bronze,Mountain Health CO-OP,32225MT0060010,Plus Bronze Standard Expanded,PPO,https://mountainhealth.coop/wp-content/uploads/plans/2025/2025_IND_MT_PLUS_BRONZE_STANDARD_EXPANDED_SBC.pdf,004498d1-0e36-49c4-a224-224aab7a988f
Silver,UnitedHealthcare,33931OH0030030,"UHC Silver Copay Focus $0 Indiv Med Ded ($0 Virtual Urgent Care, No Referrals)",HMO,https://www.uhc.com/ifp/sbc.33931OH0030030-01.en.2025.pdf,00458c9b-b468-4611-91d0-c8050abd454c
Silver,Blue Cross and Blue Shield of NC,11512NC0430002,Blue Care Silver Standard | Statewide Doctors,HMO,https://www.bcbsnc.com/assets/shopper/public/pdf/sbc/Blue_Care_Silver_Standard_5000_2025.pdf,00459df4-839a-4661-86bc-b2cfa604f6d1
Silver,UnitedHealthcare,69461AL0110004,"UHC Silver Value ($0 Virtual Urgent Care, $2 Tier 2 Rx, No Referrals)",EPO,https://www.uhc.com/ifp/sbc.69461AL0110004-01.en.2025.pdf,00481b19-1929-4f50-af8f-68af1d037412
Gold,UnitedHealthcare,49714WY0200008,"UHC Gold Advantage ($0 Virtual Urgent Care, $1 Tier 2 Rx, No Referrals)",EPO,https://www.uhc.com/ifp/sbc.49714WY0200008-01.en.2025.pdf,004883fe-5605-4bfe-9858-a1c1c60007a5
Gold,CareSource,13591NC0010009,Gold 1500 $15 Generic Drugs,HMO,https://www.caresource.com/documents/Marketplace-2025-Federal-NC-Gold1500$15GenericDrugs-Base-Basic-sum.pdf,004a8b53-e2dd-4663-bc39-6df9a9214378
Catastrophic,Blue Cross Blue Shield of North Dakota,37160ND2410021,BlueEssential Catastrophic 100 $9200 Deductible,PPO,https://www.bcbsnd.com/content/dam/bcbsnd/documents/plans/2025/individual-metallic/blueessential/BlueEssential100-9200_IND_ONX_OFX_20250101_SBC.pdf,004b24e3-2d93-44b9-8fcf-765695ba9f8a
Gold,Medica,20305NE0040045,Medica Insure Gold $0 Copay PCP Visits,EPO,https://portal.medica.com/visitor/sbcsearch/docdisplay?plancode=2025-IFBIGCPCNE&uid=FFM.pdf,004b89c2-e838-4014-b9bc-83d4c58a234d
Silver,CareSource,77552OH0020209,Diabetes Silver 4000 $0 Select Drugs & Specialized Services Adult Vision & Fitness,HMO,https://www.caresource.com/documents/Marketplace--2025-Diab-Elite-OH-Silver4000$0SelectDrugs&SpecializedServicesAdultVision&Fitness-Base-V&F-sum.pdf,004c883f-fcc5-4ce1-aeb3-7396e8bbe90e
